stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
1165,1165,MESSINA MARINE 1,,38.097299999999997,13.418981669999997,1,,,,Europe/Rome,1
1166,1166,MESSINA MARINE 2,,38.098144999999995,13.411153330000001,1,,,,Europe/Rome,1
1167,1167,MESSINA MARINE 3,,38.098444999999998,13.40821167,1,,,,Europe/Rome,1
1168,1168,MESSINA MARINE 4,,38.101858329999999,13.397584999999996,1,,,,Europe/Rome,1
1169,1169,MESSINA MARINE 3,,38.09830333,13.408649999999998,1,,,,Europe/Rome,1
117,117,AQUINO 3 VALLE,,38.075029620000002,13.309669639999999,1,,,,Europe/Rome,1
1170,1170,MESSINA MARINE 2,,38.098038330000001,13.410996670000001,1,,,,Europe/Rome,1
1171,1171,MESSINA MARINE 1,,38.097300000000004,13.418676669999998,1,,,,Europe/Rome,1
1172,1172,MICHELANGELO - BADIA,,38.137156580000003,13.319181359999996,1,,,,Europe/Rome,1
1173,1173,MICHELANGELO - BADIA,,38.136697089999991,13.317996669999999,1,,,,Europe/Rome,1
1174,1174,MICHELANGELO - BERNINI,,38.137875530000002,13.32303724,1,,,,Europe/Rome,1
1175,1175,MICHELANGELO - BRUNELLESCHI,,38.135580150000003,13.314802359999996,1,,,,Europe/Rome,1
1176,1176,MICHELANGELO - CASALINI,,38.134486980000005,13.312728910000002,1,,,,Europe/Rome,1
1177,1177,MICHELANGELO - CAVA,,38.13274453999999,13.308171670000005,1,,,,Europe/Rome,1
1178,1178,MICHELANGELO - FELICE,,38.138518519999998,13.325786880000001,1,,,,Europe/Rome,1
1179,1179,MICHELANGELO - FRONTINI,,38.13288816,13.309030430000005,1,,,,Europe/Rome,1
118,118,AQUINO 4 MONTE,,38.074738330000002,13.305571670000001,1,,,,Europe/Rome,1
1180,1180,MICHELANGELO - PALADINI,,38.133995059999997,13.31102536,1,,,,Europe/Rome,1
1181,1181,MICHELANGELO - PALADINI,,38.13361905,13.310711100000001,1,,,,Europe/Rome,1
1182,1182,MICHELANGELO - REGIONE SICILIANA,,38.139297220000003,13.329114560000001,1,,,,Europe/Rome,1
1183,1183,MICHELANGELO - SALERNO,,38.137636270000009,13.32127159,1,,,,Europe/Rome,1
1184,1184,MICHELANGELO - SANTUARIO DI CRUILLAS,,38.139109389999994,13.327531049999999,1,,,,Europe/Rome,1
1185,1185,MICHELANGELO 1,,38.138781360000003,13.326144080000001,1,,,,Europe/Rome,1
1186,1186,MICHELANGELO 2,,38.13671076,13.317479519999999,1,,,,Europe/Rome,1
1187,1187,MICHELANGELO 3,,38.134616749999999,13.31252289,1,,,,Europe/Rome,1
1188,1188,MICHELANGELO 4,,38.132048310000009,13.30651383,1,,,,Europe/Rome,1
1189,1189,MICHELANGELO 5,,38.131834659999996,13.306575939999997,1,,,,Europe/Rome,1
119,119,AQUINO 4 VALLE,,38.074694999999998,13.305538329999999,1,,,,Europe/Rome,1
